name,href,dob,height,weight,position,draft,sc
"Gray, Robbie",pp-port-adelaide-power--robert-gray,1988-03-30,183,84,"Midfield, Forward",55,453000
"Gray, Sam",pp-sydney-swans--sam-gray,1992-02-01,176,75,Forward,29,386600
"Greaves, Damon",pp-hawthorn-hawks--damon-greaves,2000-04-25,186,77,Defender,14,123900
"Green, Tom",pp-greater-western-sydney-giants--tom-green,2001-01-23,188,85,Midfield,10,166800
"Greene, Fergus",pp-western-bulldogs--fergus-greene,1997-12-20,187,75,Forward,70,157400
"Greene, Toby",pp-greater-western-sydney-giants--toby-greene,1993-09-25,182,83,Forward,11,510100
"Greenwood, Hugh",pp-gold-coast-suns--hugh-greenwood,1992-03-06,191,92,"Midfield, Forward",48,463100
"Greenwood, Levi",pp-collingwood-magpies--levi-greenwood,1989-02-19,181,87,Defender,32,355300
"Gresham, Jade",pp-st-kilda-saints--jade-gresham,1997-08-24,179,79,"Midfield, Forward",18,456400
"Grimes, Dylan",pp-richmond-tigers--dylan-grimes,1991-07-16,193,90,Defender,2,399500
"Grundy, Brodie",pp-collingwood-magpies--brodie-grundy,1994-04-15,203,100,Ruck,18,705900
"Grundy, Riley",pp-port-adelaide-power--riley-grundy,2000-07-28,194,86,Defender,38,102400
"Guelfi, Matt",pp-essendon-bombers--matt-guelfi,1997-08-14,184,85,Midfield,76,304700
"Gunston, Jack",pp-hawthorn-hawks--jack-gunston,1991-10-16,193,87,Forward,29,433600
"Guthrie, Cameron",pp-geelong-cats--cameron-guthrie,1992-08-19,187,86,Midfield,23,413900
"Guthrie, Zach",pp-geelong-cats--zach-guthrie,1998-06-30,187,76,Defender,33,190100
"Hall, Aaron",pp-kangaroos--aaron-hall,1990-11-09,185,85,Midfield,7,370600
"Ham, Brayden",pp-essendon-bombers--brayden-ham,1999-04-25,181,70,"Midfield, Forward",72,217500
"Hamill, Will",pp-adelaide-crows--will-hamill,2000-11-17,186,71,Defender,30,123900
"Hamling, Joel",pp-fremantle-dockers--joel-hamling,1993-04-09,194,92,Defender,32,342400
"Hanley, Pearce",pp-gold-coast-suns--pearce-hanley,1988-11-15,185,86,Defender,95,419800
"Hannan, Mitchell",pp-melbourne-demons--mitchell-hannan,1994-03-09,189,86,Forward,46,201200
"Hannebery, Daniel",pp-st-kilda-saints--daniel-hannebery,1991-02-24,181,80,Midfield,30,417000
"Hanrahan, Oliver",pp-hawthorn-hawks--oliver-hanrahan,1998-08-27,181,75,Forward,14,284800
"Harbrow, Jarrod",pp-gold-coast-suns--jarrod-harbrow,1988-07-18,178,73,Defender,27,419400
"Hardwick, Blake",pp-hawthorn-hawks--blake-hardwick,1997-02-05,181,79,Defender,44,429000
"Harmes, James",pp-melbourne-demons--james-harmes,1995-10-05,185,82,Midfield,2,516400
"Hartigan, Kyle",pp-adelaide-crows--kyle-hartigan,1991-11-07,194,98,Defender,76,239200
"Hartlett, Hamish",pp-port-adelaide-power--hamish-hartlett,1990-08-14,185,83,Defender,4,434900
"Hartley, Michael",pp-hawthorn-hawks--michael-hartley,1993-06-07,198,104,Defender,2,272400
"Hately, Jackson",pp-greater-western-sydney-giants--jackson-hately,2000-10-21,190,83,Midfield,14,301600
"Hawkins, Tom",pp-geelong-cats--tom-hawkins,1988-07-21,198,103,Forward,41,465000
"Hayden, Kyron",pp-kangaroos--kyron-hayden,1999-06-07,186,86,Midfield,27,134700
"Hayes, Sam",pp-port-adelaide-power--sam-hayes,1999-06-09,203,93,Ruck,47,123900
"Hayes, Will",pp-western-bulldogs--will-hayes,1995-06-05,181,77,Midfield,78,315000
"Haynes, Nick",pp-greater-western-sydney-giants--nick-haynes,1992-05-18,193,90,Defender,7,474700
"Hayward, Will",pp-sydney-swans--will-hayward,1998-10-26,187,84,Forward,21,317900
"Heeney, Isaac",pp-sydney-swans--isaac-heeney,1996-05-05,186,84,"Midfield, Forward",18,510700
"Henderson, Lachlan",pp-geelong-cats--lachlan-henderson,1989-12-14,196,98,Defender,35,305000
"Henderson, Ricky",pp-hawthorn-hawks--ricky-henderson,1988-09-11,188,89,Midfield,82,514900
"Henry, Jack",pp-geelong-cats--jack-henry,1998-08-29,191,92,Defender,16,289200
"Henry, Liam",pp-fremantle-dockers--liam-henry,2001-08-28,179,67,"Midfield, Forward",9,171300
"Heppell, Dyson",pp-essendon-bombers--dyson-heppell,1992-05-14,189,84,Midfield,8,514300
"Heron, Jacob",pp-gold-coast-suns--jacob-heron,1999-12-10,180,79,Forward,NA,179900
"Hewett, George",pp-sydney-swans--george-hewett,1995-12-29,187,84,Midfield,32,477600
"Hibberd, Michael",pp-melbourne-demons--michael-hibberd,1990-01-03,186,90,Defender,4,349300
"Hibberd, Mitchell",pp-essendon-bombers--mitchell-hibberd,1996-09-23,192,87,Midfield,10,114400
"Hickey, Tom",pp-west-coast-eagles--tom-hickey,1991-03-06,201,96,Ruck,NA,425700
"Higgins, Jack",pp-richmond-tigers--jack-higgins,1999-03-19,177,78,Forward,17,358800
"Higgins, Shaun",pp-kangaroos--shaun-higgins,1988-03-04,184,89,Midfield,11,515200
"Hill, Bradley",pp-st-kilda-saints--bradley-hill,1993-07-09,179,79,Midfield,33,457400
"Hill, Ian",pp-greater-western-sydney-giants--ian-hill,2000-02-09,175,66,Forward,24,275800
"Hill, Stephen",pp-fremantle-dockers--stephen-hill,1990-05-01,183,82,"Defender, Forward",3,190600
"Himmelberg, Elliott",pp-adelaide-crows--elliot-himmelberg,1998-06-04,198,96,Forward,51,277900
"Himmelberg, Harrison",pp-greater-western-sydney-giants--harrison-himmelberg,1996-05-08,194,92,Forward,16,413700
"Hind, Nick",pp-st-kilda-saints--nick-hind,1994-08-19,180,71,Forward,54,311000
"Hinge, Mitchell",pp-brisbane-lions--mitchell-hinge,1998-06-26,190,84,Midfield,20,210200
"Hipwood, Eric",pp-brisbane-lions--eric-hipwood,1997-09-13,204,90,Forward,14,294000
"Hird, Tom",pp-essendon-bombers--tom-hird,2001-03-28,182,70,Midfield,NA,102400
"Hogan, Jesse",pp-fremantle-dockers--jesse-hogan,1995-02-12,195,99,Forward,2,327600
"Holman, Nicholas",pp-gold-coast-suns--nicholas-holman,1995-05-29,189,87,Forward,19,365200
"Hombsch, Jack",pp-gold-coast-suns--jack-hombsch,1993-03-07,194,89,Defender,NA,290800
"Honey, Josh",pp-carlton-blues--josh-honey,2001-10-17,184,79,"Midfield, Forward",3,124900
"Hooker, Cale",pp-essendon-bombers--cale-hooker,1988-10-13,198,103,Defender,54,438300
"Hopper, Jacob",pp-greater-western-sydney-giants--jacob-hopper,1997-02-06,187,87,Midfield,7,520200
"Hore, Marty",pp-melbourne-demons--marty-hore,1996-03-05,190,84,Defender,56,383600
"Horlin-Smith, George",pp-gold-coast-suns--george-horlin-smith,1992-12-22,188,84,"Defender, Midfield",37,221300
"Hosie, Lachlan",pp-kangaroos--lachie-hosie,1997-02-25,189,78,Forward,5,123900
"Hoskin-Elliott, Will",pp-collingwood-magpies--will-hoskin-elliott,1993-09-02,186,82,Forward,4,382000
"Houli, Bachar",pp-richmond-tigers--bachar-houli,1988-05-12,180,83,Defender,3,571600
"Houston, Dan",pp-port-adelaide-power--dan-houston,1997-05-12,186,83,"Defender, Midfield",45,484800
"Howard, Dougal",pp-st-kilda-saints--dougal-howard,1996-03-25,199,92,"Defender, Forward",56,376500
"Howe, Daniel",pp-hawthorn-hawks--daniel-howe,1995-12-04,191,87,"Defender, Midfield",31,399600
"Howe, Jeremy",pp-collingwood-magpies--jeremy-howe,1990-06-29,190,86,Defender,33,431900
"Hughes, Ethan",pp-fremantle-dockers--ethan-hughes,1994-12-07,188,89,Defender,5,364100
"Hunt, Jayden",pp-melbourne-demons--jayden-hunt,1995-04-03,187,82,Forward,57,317300
"Hunter, Lachlan",pp-western-bulldogs--lachlan-hunter,1994-12-13,183,82,Midfield,49,517400
"Hurley, Michael",pp-essendon-bombers--michael-hurley,1990-06-01,192,94,Defender,5,432900
"Hurn, Shannon",pp-west-coast-eagles--shannon-hurn,1987-09-04,187,95,Defender,13,562200
"Hutchesson, Thomas",pp-greater-western-sydney-giants--thomas-hutchesson,1995-04-04,177,75,"Midfield, Forward",65,117300
"Hutchings, Mark",pp-west-coast-eagles--mark-hutchings,1991-05-25,182,83,Midfield,60,274200
"Idun, Connor",pp-greater-western-sydney-giants--connor-idun,2000-07-29,191,91,Defender,61,143400
"Impey, Jarman",pp-hawthorn-hawks--jarman-impey,1995-07-09,178,82,Defender,21,402500
"Jackson, Luke",pp-melbourne-demons--luke-jackson,2001-09-29,198,84,Ruck,3,198300
"Jacobs, Ben",pp-kangaroos--ben-jacobs,1992-01-09,185,85,Midfield,37,348500
"Jacobs, Sam",pp-greater-western-sydney-giants--sam-jacobs,1988-04-10,200,102,Ruck,72,348400
"Jamieson, Callum",pp-west-coast-eagles--callum-jamieson,2000-07-31,200,81,Ruck,49,117300
"Jarvis, Ben",pp-geelong-cats--ben-jarvis,2000-07-27,189,65,Defender,48,123900
"Jeka, Emerson",pp-hawthorn-hawks--emerson-jeka,2001-09-18,197,87,Forward,9,115900
"Jenkins, Josh",pp-geelong-cats--josh-jenkins,1989-02-08,200,108,Forward,12,371200
"Jetta, Lewis",pp-west-coast-eagles--lewis-jetta,1989-05-04,182,80,Defender,14,382600
"Jetta, Neville",pp-melbourne-demons--neville-jetta,1990-02-12,180,83,Defender,50,243700
"Jiath, Changkuoth",pp-hawthorn-hawks--changkuoth-jiath,1999-06-13,185,74,Defender,NA,219900
"Johannisen, Jason",pp-western-bulldogs--jason-johannisen,1992-11-08,180,82,Defender,105,458100
"Johnson, Ben",pp-west-coast-eagles--ben-johnson-2,2001-03-06,180,65,Defender,58,117300
"Johnson, Lachlan",pp-essendon-bombers--lachlan-johnson,2001-08-07,176,75,"Midfield, Forward",63,117300
"Jonas, Thomas",pp-port-adelaide-power--thomas-jonas,1991-01-09,188,89,Defender,85,417500
"Jones, Chayce",pp-adelaide-crows--chayce-jones,2000-01-14,180,77,Forward,9,271500
"Jones, Harrison",pp-hawthorn-hawks--harrison-jones,1999-03-15,185,80,Midfield,7,123900
"Jones, Harrison",pp-essendon-bombers--harrison-jones-1,2001-02-25,194,75,Forward,30,117300
"Jones, Jamaine",pp-west-coast-eagles--jamaine-jones,1998-09-29,180,81,Forward,48,143800
"Jones, Liam",pp-carlton-blues--liam-jones,1991-02-24,199,97,Defender,32,358800
"Jones, Nathan",pp-melbourne-demons--nathan-jones,1988-01-20,180,87,"Defender, Midfield",12,397900
"Jones, Zak",pp-st-kilda-saints--zak-jones,1995-03-15,181,80,Midfield,15,465400
"Jong, Lin",pp-western-bulldogs--lin-jong,1993-06-04,188,87,Midfield,9,260700
"Jordan, James",pp-melbourne-demons--james-jordan,2000-12-20,186,80,Midfield,33,123900
"Joyce, Darragh",pp-st-kilda-saints--darragh-joyce,1997-04-23,195,90,Defender,NA,209100
"Joyce, Jesse",pp-gold-coast-suns--jesse-joyce,1997-08-17,191,84,Defender,67,326800
"Joyce, Tom",pp-brisbane-lions--tom-joyce,2000-03-07,180,86,"Midfield, Forward",40,123900
"Keane, Mark",pp-collingwood-magpies--mark-keane,2000-03-17,194,92,Defender,NA,123900
"Keath, Alex",pp-western-bulldogs--alex-keath,1992-01-20,197,93,Defender,58,413000
"Keays, Ben",pp-adelaide-crows--ben-keays,1997-02-23,185,89,Forward,7,266100
"Keeffe, Lachlan",pp-greater-western-sydney-giants--lachlan-keeffe,1990-04-14,204,102,"Defender, Forward",7,272700
"Kelly, Jake",pp-adelaide-crows--jake-kelly,1995-01-21,190,89,Defender,40,406300
"Kelly, Joshua",pp-greater-western-sydney-giants--joshua-kelly,1995-02-12,184,83,Midfield,2,637700
"Kelly, Tim",pp-west-coast-eagles--tim-kelly,1994-07-26,182,81,Midfield,24,561800
"Kelly, Will",pp-collingwood-magpies--will-kelly,2000-08-16,194,84,Forward,29,123900
"Kemp, Brodie",pp-carlton-blues--brodie-kemp,2001-05-01,192,82,Midfield,17,135300
"Kennedy, Adam",pp-greater-western-sydney-giants--adam-kennedy,1992-07-12,182,80,Defender,NA,353500
"Kennedy, Josh P.",pp-sydney-swans--josh-p--kennedy,1988-06-20,189,97,Midfield,40,579000
"Kennedy, Joshua",pp-west-coast-eagles--joshua-kennedy,1987-08-25,196,102,Forward,4,335600
"Kennedy, Matthew",pp-carlton-blues--matthew-kennedy-1,1997-04-06,190,88,Forward,13,309500
"Kennerley, Jacob",pp-geelong-cats--jacob-kennerley,2000-06-16,186,78,Defender,50,123900
"Kent, Dean",pp-st-kilda-saints--dean-kent,1994-02-24,180,85,Forward,48,345900
"Khamis, Buku",pp-western-bulldogs--buku-khamis,2000-03-24,189,82,Defender,NA,123900
"King, Ben",pp-gold-coast-suns--ben-king,2000-07-07,202,87,Forward,6,225000
"King, Max",pp-st-kilda-saints--max-king-1,2000-07-07,202,90,Forward,4,123900
"Knight, Riley",pp-adelaide-crows--riley-knight,1995-03-27,181,80,Forward,46,344300
"Knoll, Michael",pp-sydney-swans--michael-knoll,1993-02-27,205,103,Ruck,4,123900
"Kolodjashnij, Jake",pp-geelong-cats--jake-kolodjashnij,1995-08-09,193,94,Defender,41,297600
"Kolodjashnij, Kade",pp-melbourne-demons--kade-kolodjashnij,1995-08-09,190,86,Midfield,5,207700
"Koschitzke, Jacob",pp-hawthorn-hawks--jacob-koschitzke,2000-07-11,196,94,Defender,52,123900
"Kreuger, Nathan",pp-geelong-cats--nathan-kreuger,1999-06-25,196,88,Forward,NA,123900
"Kreuzer, Matthew",pp-carlton-blues--matthew-kreuzer,1989-05-13,200,101,Ruck,1,528900
"Ladhams, Peter",pp-port-adelaide-power--peter-ladhams,1998-01-14,202,95,"Forward, Ruck",9,326700
"Laird, Rory",pp-adelaide-crows--rory-laird,1993-12-29,177,81,Defender,86,525800
"Lambert, Kane",pp-richmond-tigers--kane-lambert,1991-11-26,178,77,Forward,46,477900
"Lang, Darcy",pp-carlton-blues--darcy-lang,1995-11-21,183,83,Forward,16,244400
"Langdon, Ed",pp-melbourne-demons--ed-langdon,1996-02-01,182,78,Midfield,54,466300
"Langdon, Tom",pp-collingwood-magpies--tom-langdon,1994-06-09,190,85,Defender,65,405500
"Langdon, Zac",pp-greater-western-sydney-giants--zac-giles-langdon,1995-11-13,177,81,Forward,56,218300
"Langford, Kyle",pp-essendon-bombers--kyle-langford,1996-12-01,191,87,"Midfield, Forward",17,399900
"Langlands, Doulton",pp-st-kilda-saints--doulton-langlands,1999-07-29,187,83,Midfield,8,202700
"Larkey, Nick",pp-kangaroos--nick-larkey,1998-06-06,198,93,Forward,73,329000
"Laverde, Jayden",pp-essendon-bombers--jayden-laverde,1996-04-12,191,91,Forward,20,364400
"Lemmens, Sean",pp-gold-coast-suns--sean-lemmens,1994-11-02,184,84,"Midfield, Forward",27,262000
"Lester, Ryan",pp-brisbane-lions--ryan-lester,1992-08-26,192,85,Defender,28,330000
"Lever, Jake",pp-melbourne-demons--jake-lever,1996-03-05,195,91,Defender,14,384200
"Lewis, Mitchell",pp-hawthorn-hawks--mitchell-lewis,1998-10-14,198,95,Forward,76,367000
"Liberatore, Thomas",pp-western-bulldogs--thomas-liberatore,1992-05-16,183,83,Midfield,41,447500
"Lienert, Jarrod",pp-port-adelaide-power--jarrod-lienert,1994-08-05,195,88,Defender,42,401500
"Ling, Matthew",pp-sydney-swans--matthew-ling,1999-04-21,184,79,Defender,14,123900
"Lipinski, Patrick",pp-western-bulldogs--patrick-lipinski,1998-07-17,187,84,"Midfield, Forward",28,441500
"Lloyd, Daniel",pp-greater-western-sydney-giants--daniel-lloyd,1992-02-18,187,85,Forward,26,328500
"Lloyd, Jake",pp-sydney-swans--jake-lloyd,1993-09-20,181,79,Defender,16,591400
"Lloyd, Sam",pp-western-bulldogs--sam-lloyd,1990-03-03,180,81,Forward,66,419100
"Lobb, Rory",pp-fremantle-dockers--rory-lobb,1993-02-09,206,106,Ruck,29,472800
"Lockhart, Jay",pp-melbourne-demons--jay-lockhart,1996-02-03,177,75,Forward,NA,283700
"Logue, Griffin",pp-fremantle-dockers--griffin-logue,1998-04-13,193,101,Defender,8,339900
"Long, Ben",pp-st-kilda-saints--ben-long,1997-08-21,184,79,Forward,25,283100
"Lonie, Jack",pp-st-kilda-saints--jack-lonie,1996-08-13,175,70,Forward,41,354200
"Lukosius, Jack",pp-gold-coast-suns--jack-lukosius,2000-08-09,195,83,"Defender, Forward",2,274600
"Lycett, Scott",pp-port-adelaide-power--scott-lycett,1992-09-26,203,98,Ruck,29,550600
"Lynch, Bradley",pp-western-bulldogs--bradley-lynch,1997-07-11,187,79,Defender,11,221100
"Lynch, Max",pp-collingwood-magpies--max-lynch,1998-09-12,200,99,Ruck,51,123900
"Lynch, Tom",pp-adelaide-crows--tom-lynch,1990-09-15,193,88,Forward,13,459900
"Lynch, Tom",pp-richmond-tigers--thomas-lynch,1992-10-31,199,99,Forward,11,388800
"Lyons, Corey",pp-brisbane-lions--corey-lyons,1998-05-31,184,83,Midfield,26,102400
"Lyons, Jarryd",pp-brisbane-lions--jarryd-lyons,1992-07-22,184,84,Midfield,61,535400
"MacKay, David",pp-adelaide-crows--david-mackay,1988-07-25,181,78,"Defender, Midfield",48,361100
"MacMillan, Jamie",pp-kangaroos--jamie-macmillan,1991-09-23,188,89,Defender,37,443200
"Macpherson, Darcy",pp-gold-coast-suns--darcy-macpherson,1997-10-29,174,78,"Midfield, Forward",21,443800
"Macrae, Jackson",pp-western-bulldogs--jackson-macrae,1994-08-03,191,85,Midfield,6,668900
"Macreadie, Harrison",pp-carlton-blues--harrison-macreadie,1998-04-11,198,92,Defender,47,123900
"Madden, James",pp-brisbane-lions--james-madden,1999-11-15,186,85,"Defender, Forward",NA,123900
"Madgen, Jack",pp-collingwood-magpies--jack-madgen,1993-04-25,192,98,Defender,NA,235700
"Maginness, Finn",pp-hawthorn-hawks--finn-maginness,2001-02-23,187,80,Midfield,29,117300
"Mahony, Jack",pp-kangaroos--jack-mahony,2001-11-12,176,70,"Midfield, Forward",34,117300
"Maibaum, Jack",pp-sydney-swans--jack-maibaum,1998-03-27,194,91,Defender,19,103900
"Marchbank, Caleb",pp-carlton-blues--caleb-marchbank,1996-12-07,193,93,Defender,6,348000
"Markov, Oleg",pp-richmond-tigers--oleg-markov,1996-05-08,188,82,Midfield,50,184400
"Marsh, Jonathon",pp-st-kilda-saints--jonathon-marsh,1995-10-17,194,93,Defender,77,219800
"Marshall, Rowan",pp-st-kilda-saints--rowan-marshall,1995-11-24,201,104,Ruck,10,598700
"Marshall, Todd",pp-port-adelaide-power--todd-marshall,1998-10-08,198,87,Forward,16,286200
"Martin, Dustin",pp-richmond-tigers--dustin-martin,1991-06-26,187,93,"Midfield, Forward",3,543000
"Martin, Jack",pp-carlton-blues--jack-martin,1995-01-29,186,83,"Midfield, Forward",1,420800
"Martin, Stefan",pp-brisbane-lions--stefan-martin,1986-11-17,199,104,Ruck,3,501100
"Martyn, Will",pp-richmond-tigers--will-martyn,2001-03-29,183,73,Midfield,44,117300
"Matera, Brandon",pp-fremantle-dockers--brandon-matera,1992-03-11,175,76,Forward,NA,342900
"Mathieson, Rhys",pp-brisbane-lions--rhys-mathieson,1997-01-10,188,87,"Midfield, Forward",39,325200
"May, Steven",pp-melbourne-demons--steven-may,1992-01-10,193,100,Defender,NA,384200
"Mayes, Sam",pp-port-adelaide-power--sam-mayes,1994-05-20,187,84,Midfield,8,213500
"Maynard, Brayden",pp-collingwood-magpies--brayden-maynard,1996-09-20,189,90,Defender,30,433900
"Mayne, Christopher",pp-collingwood-magpies--christopher-mayne,1988-11-02,188,84,Midfield,40,406700
"Mayo, Jack",pp-st-kilda-saints--jack-mayo,1999-07-22,192,81,Forward,8,123900
"McAdam, Shane",pp-adelaide-crows--shane-mcadam,1995-05-28,181,78,Forward,NA,123900
"McAsey, Fischer",pp-adelaide-crows--fischer-mcasey,2001-03-08,197,91,Defender,6,184800
"McBride, Cian",pp-essendon-bombers--cian-mcbride,2001-04-19,197,90,Defender,NA,102400
"McCarthy, Cameron",pp-fremantle-dockers--cameron-mccarthy,1995-04-01,192,92,Forward,14,289200
"McCarthy, Lincoln",pp-brisbane-lions--lincoln-mccarthy,1993-10-22,176,84,Forward,66,357400
"McCartin, Tom",pp-sydney-swans--tom-mccartin,1999-12-30,193,89,Forward,33,269800
"McCluggage, Hugh",pp-brisbane-lions--hugh-mccluggage,1998-03-03,187,85,Midfield,3,510700
"McDonald, Luke",pp-kangaroos--luke-mcdonald,1995-02-09,189,89,Defender,8,327100
"McDonald, Oscar",pp-melbourne-demons--oscar-mcdonald,1996-03-18,196,100,Defender,53,267000
"McDonald, Tom",pp-melbourne-demons--tom-mcdonald,1992-09-18,194,99,Forward,53,387000
"McDonald-Tipungwuti, Anthony",pp-essendon-bombers--anthony-mcdonald-tipungwuti,1993-04-22,171,77,Forward,22,409500
"McEvoy, Ben",pp-hawthorn-hawks--ben-mcevoy,1989-07-11,200,102,Ruck,9,503600
"McFadyen, Connor",pp-brisbane-lions--connor-mcfadyen,2000-12-04,190,81,Forward,42,123900
"McGovern, Jeremy",pp-west-coast-eagles--jeremy-mcgovern,1992-04-15,196,99,Defender,74,475300
"McGovern, Mitch",pp-carlton-blues--mitch-mcgovern,1994-10-11,191,93,Forward,43,263400
"McGrath, Andrew",pp-essendon-bombers--andrew-mcgrath,1998-06-02,178,83,Midfield,1,399400
"McGuinness, Matthew",pp-kangaroos--matthew-mcguinness,2000-06-13,192,75,Defender,NA,102400
"McHenry, Ned",pp-adelaide-crows--edward-mchenry,2000-07-13,179,70,Midfield,16,123900
"Mcinerney, Justin",pp-sydney-swans--justin-mcinerney,2000-08-18,187,73,Midfield,44,123900
"McInerney, Oscar",pp-brisbane-lions--oscar-mcinerney,1994-07-10,205,107,"Forward, Ruck",37,368400
"Mcintosh, Kamdyn",pp-richmond-tigers--kamdyn-mcintosh,1994-04-03,191,91,Midfield,31,343800
"McKay, Ben",pp-kangaroos--ben-mckay,1997-12-24,201,95,Defender,21,149200
"McKay, Harry",pp-carlton-blues--harry-mckay,1997-12-24,204,99,Forward,10,334800
"McKenna, Conor",pp-essendon-bombers--conor-mckenna,1996-03-28,184,88,Defender,62,433600
"McKenzie, Daniel",pp-st-kilda-saints--daniel-mckenzie,1996-05-17,185,83,Defender,22,280900
"McKenzie, Trent",pp-port-adelaide-power--trent-mckenzie,1992-04-03,191,83,Defender,NA,298700
"McKernan, Shaun",pp-essendon-bombers--shaun-mckernan,1990-09-01,196,100,Forward,19,363800
"McLean, Hayden",pp-sydney-swans--hayden-mclean,1999-01-20,197,93,Ruck,NA,265000
"McLean, Toby",pp-western-bulldogs--toby-mclean,1996-01-31,180,79,Forward,26,380100
"McLennan, Jez",pp-gold-coast-suns--jez-mclennan,2000-09-07,185,82,Defender,23,123900
"McPherson, Andrew",pp-adelaide-crows--andrew-mcpherson,1999-06-20,186,79,Defender,40,123900
"McQuillan, Ross",pp-essendon-bombers--ross-mcquillan,1999-01-18,188,79,"Defender, Forward",NA,102400
"McStay, Daniel",pp-brisbane-lions--daniel-mcstay,1995-06-24,195,100,Forward,25,305100
"Mead, Jackson",pp-port-adelaide-power--jackson-mead,2001-09-30,184,83,Midfield,25,117300
"Meek, Lloyd",pp-fremantle-dockers--lloyd-meek,1998-04-22,203,111,Ruck,69,123900
"Melican, Lewis",pp-sydney-swans--lewis-melican,1996-11-04,195,98,Defender,52,284600
"Melksham, Jake",pp-melbourne-demons--jake-melksham,1991-08-29,186,83,Forward,10,359800
"Membrey, Tim",pp-st-kilda-saints--tim-membrey,1994-05-26,190,89,Forward,46,436400
"Menegola, Sam",pp-geelong-cats--sam-menegola,1992-03-07,189,89,Midfield,66,441700
"Merrett, Zachary",pp-essendon-bombers--zachary-merrett,1995-10-03,180,83,Midfield,26,573600
"Miers, Gryan",pp-geelong-cats--gryan-miers,1999-03-30,178,78,Forward,57,365600
"Mihocek, Brody",pp-collingwood-magpies--brody-mihocek,1993-02-04,192,97,Forward,22,390000
"Milera, Wayne",pp-adelaide-crows--wayne-milera,1997-09-14,184,81,"Defender, Midfield",11,402500
"Miles, Anthony",pp-gold-coast-suns--anthony-miles,1992-02-28,180,81,Midfield,27,455200
"Miller, Ben",pp-richmond-tigers--ben-miller,1999-08-31,195,95,Defender,63,123900
"Miller, Touk",pp-gold-coast-suns--touk-miller,1996-02-22,178,83,Midfield,29,460700
"Mills, Callum",pp-sydney-swans--callum-mills,1997-04-02,189,83,Defender,3,444100
"Minchington, Darren",pp-hawthorn-hawks--darren-minchington,1993-12-09,179,81,Forward,65,117300
"Mitchell, Tom",pp-hawthorn-hawks--tom-mitchell,1993-05-31,182,84,Midfield,21,630900
"Moore, Callum",pp-carlton-blues--callum-moore,1996-09-03,193,92,Forward,12,186800
"Moore, Darcy",pp-collingwood-magpies--darcy-moore,1996-01-25,203,100,Defender,9,405800
"Moore, Dylan",pp-hawthorn-hawks--dylan-moore,1999-08-04,176,70,Forward,67,274400
"Morris, Josh",pp-hawthorn-hawks--josh-morris,2001-11-07,186,76,Forward,57,117300
"Morrison, Harry",pp-hawthorn-hawks--harry-morrison,1998-11-12,180,79,"Midfield, Forward",74,287200
"Mosquito, Irving",pp-essendon-bombers--irving-mosquito,2000-08-24,176,72,Forward,38,123900
"Motlop, Steven",pp-port-adelaide-power--steven-motlop,1991-03-12,183,76,Forward,39,338600
"Mumford, Shane",pp-greater-western-sydney-giants--shane-mumford,1986-07-05,198,105,Ruck,57,443200
"Mundy, David",pp-fremantle-dockers--david-mundy,1985-07-20,193,94,Midfield,19,483500
"Murdoch, Jordan",pp-gold-coast-suns--jordan-murdoch,1992-03-23,190,87,Defender,48,319600
"Murphy, Lachlan",pp-adelaide-crows--lachlan-murphy,1998-12-04,176,76,Forward,38,295800
"Murphy, Marc",pp-carlton-blues--marc-murphy,1987-07-19,180,80,Midfield,1,492400
"Murphy, Nathan",pp-collingwood-magpies--nathan-murphy,1999-12-15,190,85,Defender,39,123900
"Murphy, Thomas",pp-kangaroos--thomas-murphy-1,1998-01-19,189,82,Defender,4,152000
"Murtagh, Patrick",pp-gold-coast-suns--patrick-murtagh,2000-02-11,196,94,Forward,NA,102400
"Mutch, Kobe",pp-essendon-bombers--kobe-mutch,1998-03-18,187,88,Midfield,42,207400
"Naish, Patrick",pp-richmond-tigers--patrick-naish,1999-01-15,182,75,Midfield,34,236200
"Naismith, Sam",pp-sydney-swans--sam-naismith,1992-07-16,206,108,Ruck,58,251500
"Naitanui, Nicholas",pp-west-coast-eagles--nicholas-naitanui,1990-05-04,201,110,Ruck,2,457800
"Nankervis, Toby",pp-richmond-tigers--toby-nankervis,1994-08-12,199,102,Ruck,35,404300
"Narkle, Quinton",pp-geelong-cats--quinton-narkle,1997-12-03,181,80,Midfield,60,396600
"Nash, Conor",pp-hawthorn-hawks--conor-nash,1998-07-28,197,93,Forward,NA,269600
"Naughton, Aaron",pp-western-bulldogs--aaron-naughton,1999-11-30,195,89,Forward,9,367800
"Neal-Bullen, Alex",pp-melbourne-demons--alex-neal-bullen,1996-01-09,182,80,Forward,40,333600
"Neale, Lachie",pp-brisbane-lions--lachie-neale,1993-05-24,177,85,Midfield,58,658500
"Nelson, Jackson",pp-west-coast-eagles--jackson-nelson,1996-03-15,187,85,Defender,51,272000
"Newman, Nic",pp-carlton-blues--nic-newman,1993-01-15,187,83,Defender,35,524800
"Newnes, Jack",pp-carlton-blues--jack-newnes,1993-02-24,186,82,Midfield,37,386400
"Nietschke, Aaron",pp-melbourne-demons--aaron-nietschke,2000-05-26,184,82,Midfield,53,123900
"Noble, John",pp-collingwood-magpies--john-noble,1997-03-25,180,72,Defender,14,215400
